property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;ANO CPUR/АНО ЦПУР
title;Пожары в России: данные о местах и типах природных пожаров за 2012–2021 гг.
description;"Оперативные сведения МЧС России о географических точках, типах и датах природных пожаров, происходивших на территории России с 2012 по 2021 годы."
creator;МЧС России
created;20220331
modified;
subject;
format;"CSV (кодировка: «UTF-8», разделитель: «;»)"
provenance;
valid;
publishername;
publisherphone;
publishermbox;ask@data-in.ru
data;
structure;
